Burlington - Stowe, 3*, Williston, Courtyard, 22.0%
Washington DC, 4*, Geogetown-Foggy Bottom, Westin, 14.4%
Washington DC, 3*, National Harbor, Aloft, 47.6%
Washington DC, 3*, National Harbor, Residence Inn, 52.4%
Washington DC, 3.5*, Geogetown-Foggy Bottom, Marriot, 100.0%
Washington DC, 3*, Geogetown-Foggy Bottom, Georgetown Conference Center, 19.3%
Washington DC, 3*, Geogetown-Foggy Bottom, Holiday Inn, 44.1%
Washington DC, 3*, Geogetown-Foggy Bottom, Renaissance, 18.3%
Washington DC, 3*, Geogetown-Foggy Bottom, Marriot, 18.3%
Washington DC, 4*, DuPont Circle-Woodley Park, The Fairfax Hotel At Embassy Row, 4.3%
Washington DC, 4*, DuPont Circle-Woodley Park, St Gregory Hotel and Suites, 2.1%
Washington DC, 4*, DuPont Circle-Woodley Park, Hotel Palomar, 4.2%
Washington DC, 4*, DuPont Circle-Woodley Park, Fairfax at Embassy Row, 7.3%
Washington DC, 4*, DuPont Circle-Woodley Park, Renaissance, 5.5%
Washington DC, 4*, DuPont Circle-Woodley Park, Fairfax Hotel at Embassy Row, 2.4%
Washington DC, 4*, DuPont Circle-Woodley Park, Palomar, 7.3%
Washington DC, 4*, DuPont Circle-Woodley Park, Omni, 56.9%
Washington DC, 4*, DuPont Circle-Woodley Park, Westin, 3.5%
Washington DC, 4*, DuPont Circle-Woodley Park, The Fairfax at Embassy Row, 2.6%
Washington DC, 4*, DuPont Circle-Woodley Park, Marriot, 3.9%
Washington DC, 4*, Crystal city, Hyatt, 100.0%
Washington DC, 4*, Convention Ctr-Capitol Hill, Liaison Capitol Hotel, 14.2%
Washington DC, 4*, Convention Ctr-Capitol Hill, Liason, 4.7%
Washington DC, 4*, Convention Ctr-Capitol Hill, Hyatt, 14.7%
Washington DC, 4*, Convention Ctr-Capitol Hill, Hotel Monaco, 3.6%
Washington DC, 4*, Convention Ctr-Capitol Hill, Renaissance, 61.1%
Washington DC, 4*, Convention Ctr-Capitol Hill, The Hotel George, 1.7%
Wausau, 3*, Mosinee, Holiday Inn, 100.0%
Washington DC, 3.5*, Convention Ctr-Capitol Hill, Hotel Madera, 4.9%
Washington DC, 3.5*, Convention Ctr-Capitol Hill, Renaissance, 9.7%
Washington DC, 3.5*, Convention Ctr-Capitol Hill, Marriot, 67.2%
Washington DC, 3.5*, Convention Ctr-Capitol Hill, Hyatt, 9.1%
Washington DC, 3.5*, Convention Ctr-Capitol Hill, Washington Court, 5.3%
Washington DC, 3.5*, Convention Ctr-Capitol Hill, Embassy Suites, 3.9%
Washington DC, 4*, Airport Washington Dulles DCA, Hotel Palomar, 34.0%
Washington DC, 4*, Airport Washington Dulles DCA, Hyatt, 37.3%
Washington DC, 4*, Airport Washington Dulles DCA, Westin, 28.7%
Washington DC, 3.5*, Airport Washington Dulles DCA, Crowne Plaza, 8.0%
Washington DC, 3.5*, Airport Washington Dulles DCA, Sheraton, 28.7%
Washington DC, 3.5*, Airport Washington Dulles DCA, Marriot, 63.3%
Washington DC, 4*, Alexandria-Old Town, Westin, 100.0%
Washington DC, 3.5*, Alexandria-Old Town, Sheraton, 16.3%
Washington DC, 3.5*, Alexandria-Old Town, Hilton, 49.2%
Washington DC, 3.5*, Alexandria-Old Town, Crowne Plaza, 34.5%
Washington DC, 3*, Alexandria-Old Town, Residence Inn, 15.4%
Washington DC, 3*, Alexandria-Old Town, Courtyard, 10.1%
Washington DC, 3*, Alexandria-Old Town, Radisson, 9.8%
Washington DC, 3*, Alexandria-Old Town, Hilton, 15.1%
Washington DC, 3*, Alexandria-Old Town, Holiday Inn, 22.7%
Washington DC, 3*, Alexandria-Old Town, Crowne Plaza, 15.1%
Washington DC, 3*, Alexandria-Old Town, Sheraton, 12.0%
Washington DC, 2.5*, Alexandria-Old Town, Courtyard, 100.0%
Westchester County, 2*, Mt Kisco-Armonk, Holiday Inn, 100.0%
Wenatchee-Yakima, 3*, Wenatchee, Coast Wenatchee Center Hotel, 100.0%
Westborough-Marlborough, 3*, Shrewsbury, Courtyard, 100.0%
Washington DC, 2*, Alexandria-Old Town, Comfort Inn, 100.0%
Westborough-Marlborough, 2.5*, Shrewsbury, Courtyard, 27.5%
Westborough-Marlborough, 2.5*, Shrewsbury, Doubletree, 72.5%
Washington DC, 3*, Airport Washington Dulles DCA, Courtyard, 22.8%
Washington DC, 3*, Airport Washington Dulles DCA, Holiday Inn, 18.3%
Washington DC, 3*, Airport Washington Dulles DCA, Hilton, 18.8%
Washington DC, 3*, Airport Washington Dulles DCA, Marriot, 12.8%
Washington DC, 3*, Airport Washington Dulles DCA, Hyatt, 27.3%
Washington DC, 2.5*, Convention Ctr-Capitol Hill, Residence Inn, 24.8%
Washington DC, 2.5*, Convention Ctr-Capitol Hill, Courtyard, 26.0%
Washington DC, 2.5*, Convention Ctr-Capitol Hill, Capitol Skyline Hotel, 49.2%
Washington DC, 2.5*, Airport Washington Dulles DCA, Courtyard, 100.0%
Washington DC, 3*, Convention Ctr-Capitol Hill, L enfant Plaza Hotel, 2.8%
Washington DC, 3*, Convention Ctr-Capitol Hill, Renaissance, 6.0%
Washington DC, 3*, Convention Ctr-Capitol Hill, LEnfant Plaza, 3.5%
Washington DC, 3*, Convention Ctr-Capitol Hill, Marriot, 11.5%
Washington DC, 3*, Convention Ctr-Capitol Hill, L Enfant Plaza Hotel, 10.5%
Washington DC, 3*, Convention Ctr-Capitol Hill, Residence Inn, 11.3%
Washington DC, 3*, Convention Ctr-Capitol Hill, Holiday Inn, 5.0%
Washington DC, 3*, Convention Ctr-Capitol Hill, Courtyard, 46.0%
Washington DC, 3*, Convention Ctr-Capitol Hill, Washington Court, 3.4%
Washington DC, 3*, Crystal city, Marriot, 6.7%
Washington DC, 3*, Crystal city, Holiday Inn, 8.8%
Washington DC, 3*, Crystal city, Embassy Suites, 12.1%
Washington DC, 3*, Crystal city, Hilton, 6.4%
Washington DC, 3*, Crystal city, Courtyard, 34.2%
Washington DC, 3*, Crystal city, Sheraton, 3.7%
Washington DC, 3*, Crystal city, Radisson, 4.5%
Washington DC, 3*, Crystal city, Doubletree, 11.2%
Washington DC, 3*, Crystal city, Hyatt, 12.3%
Washington DC, 2*, Convention Ctr-Capitol Hill, Red Roof Inn Downtown, 100.0%
Washington DC, 3.5*, Crystal city, Marriot, 18.6%
Washington DC, 3.5*, Crystal city, Doubletree, 37.0%
Washington DC, 3.5*, Crystal city, Hyatt, 26.4%
Washington DC, 3.5*, Crystal city, Sheraton, 18.1%
Washington DC, 2.5*, Crystal city, Courtyard, 100.0%
Washington DC, 3.5*, DuPont Circle-Woodley Park, Marriot, 81.6%
Washington DC, 3.5*, DuPont Circle-Woodley Park, The Churchill, 1.9%
Washington DC, 3.5*, DuPont Circle-Woodley Park, Hilton, 16.6%
Washington DC, 3*, DuPont Circle-Woodley Park, The Churchill, 8.5%
Washington DC, 3*, DuPont Circle-Woodley Park, Hilton, 16.5%
Washington DC, 3*, DuPont Circle-Woodley Park, Courtyard, 41.3%
Washington DC, 3*, DuPont Circle-Woodley Park, Residence Inn, 13.2%
Washington DC, 3*, DuPont Circle-Woodley Park, Marriot, 20.6%
Washington DC, 2*, DuPont Circle-Woodley Park, Normandy Hotel, 100.0%
Wilmington, 2.5*, Newark-Christiana, Courtyard, 57.9%
Wilmington, 2.5*, Newark-Christiana, Hilton, 42.1%
Wilmington, 2*, Newark-Christiana, Fairfield Inn, 100.0%
Wilmington, 1*, Newark-Christiana, Howard Johnson, 100.0%
Wilmington, 3*, Wlmngtn-Brandywine, Sheraton, 46.8%
Wilmington, 3*, Wlmngtn-Brandywine, Doubletree, 53.2%
Winston Salem, 2.5*, West, La Quinta, 100.0%
Wichita, 3*, East, Holiday Inn, 53.5%
Wichita, 3*, East, Marriot, 46.5%
Westchester County, 3.5*, Elmsford-Tarrytown, Marriot, 46.5%
Westchester County, 3.5*, Elmsford-Tarrytown, Doubletree, 53.5%
Wichita, 2.5*, Airport ICT, La Quinta, 100.0%
Williamsburg, 3*, Center-Outlets, Residence Inn, 14.4%
Williamsburg, 3*, Center-Outlets, Holiday Inn, 85.6%
Williamsburg, 2*, Center-Outlets, Holiday Inn, 17.8%
Williamsburg, 2*, Center-Outlets, Springhill Suites, 52.1%
Williamsburg, 2*, Center-Outlets, Americas Best Value Inn, 7.3%
Williamsburg, 2*, Center-Outlets, Fairfield Inn, 22.8%
Wichita, 2*, Airport ICT, Candlewood Suites, 100.0%
Wichita, 2*, East, Fairfield Inn, 100.0%
Wichita, 3.5*, Downtown, Hyatt, 100.0%
Westchester County, 3*, Elmsford-Tarrytown, Marriot, 10.9%
Westchester County, 3*, Elmsford-Tarrytown, Sheraton, 19.3%
Westchester County, 3*, Elmsford-Tarrytown, Courtyard, 38.5%
Westchester County, 3*, Elmsford-Tarrytown, Tarrytown Estate House, 24.5%
Westchester County, 3*, Elmsford-Tarrytown, Doubletree, 6.7%
Ventura, 3*, Ventura - Oxnard, Crown Plaza Ventura, 6.0%
Ventura, 3*, Ventura - Oxnard, Crowne Plaza, 44.4%
Ventura, 3*, Ventura - Oxnard, Courtyard, 12.5%
Ventura, 3*, Ventura - Oxnard, Marriot, 23.8%
Ventura, 3*, Ventura - Oxnard, Four Points, 13.2%
Victoria, 4*, Downtown, Delta Victoria Ocean Pointe Resort And Spa, 33.1%
Victoria, 4*, Downtown, Magnolia Hotel and Spa, 66.9%
Vegas, 5*, Strip North, Palazzo, 34.5%
Vegas, 5*, Strip North, Trump International, 65.5%
Tulsa, 3.5*, Southeast-Broken Arrow, Hilton, 45.4%
Tulsa, 3.5*, Southeast-Broken Arrow, Renaissance, 9.5%
Tulsa, 3.5*, Southeast-Broken Arrow, Doubletree, 38.1%
Tulsa, 3.5*, Southeast-Broken Arrow, Marriot, 7.0%
Vancouver, 3.5*, Surrey-Pitt Meadow, Sheraton, 100.0%
Tucson, 2.5*, North, Country Inn and Suites, 100.0%
Tucson, 3.5*, East, Sheraton, 77.9%
Tucson, 3.5*, East, Hilton, 22.1%
Tucson, 4*, La Paloma-Ventana Canyon, Loews Ventana Canyon Resort, 100.0%
Tucson, 3*, Airport TUS, Holiday Inn, 100.0%
Tucson, 3.5*, Central, Marriot, 100.0%
Tulsa, 3*, Downtown, Crowne Plaza, 41.7%
Tulsa, 3*, Downtown, Doubletree, 58.3%
Tulsa, 2.5*, Midtown-Expo Center??, Courtyard, 100.0%
Tulsa, 2.5*, Airport TUL, Radisson, 100.0%
Vancouver, 4*, Downtown, Renassaince Harbourside, 1.0%
Vancouver, 4*, Downtown, Sheraton, 3.7%
Vancouver, 4*, Downtown, Pan Pacific, 2.7%
Vancouver, 4*, Downtown, Sutton Place, 3.3%
Vancouver, 4*, Downtown, Renaissance, 16.0%
Vancouver, 4*, Downtown, Marriot, 2.0%
Vancouver, 4*, Downtown, Delta Vancouver Suite, 11.7%
Vancouver, 4*, Downtown, Hyatt, 57.6%
Vancouver, 4*, Downtown, Westin, 1.9%
Vancouver, 4*, Granville Entertainment, Sutton Place, 4.9%
Vancouver, 4*, Granville Entertainment, Opus Hotel, 2.3%
Vancouver, 4*, Granville Entertainment, Sheraton, 92.8%
Vancouver, 3*, Granville Entertainment, Executive Vintage Park, 26.2%
Vancouver, 3*, Granville Entertainment, Executive Hotel Vintage Park, 8.7%
Vancouver, 3*, Granville Entertainment, Quality Inn, 16.1%
Vancouver, 3*, Granville Entertainment, Holiday Inn, 49.0%
Vancouver, 2.5*, Granville Entertainment, Ramada, 100.0%
Vancouver, 3.5*, Downtown, Renaissance, 50.9%
Vancouver, 3.5*, Downtown, Marriot, 29.5%
Vancouver, 3.5*, Downtown, Coast Plaza Hotel and Suites, 19.6%
Vancouver, 3*, Downtown, Cascadia Hotel and Suites, 4.7%
Vancouver, 3*, Downtown, Coast Plaza Suites, 39.9%
Vancouver, 3*, Downtown, Holiday Inn, 55.4%
Vancouver, 2*, Downtown, Best Western, 100.0%
Tulsa, 2*, Airport TUL, Best Western, 100.0%
Tulsa, 2*, Midtown-Expo Center??, Baymont, 100.0%
Tucson, 3*, East, Residence Inn, 10.9%
Tucson, 3*, East, Hilton, 20.4%
Tucson, 3*, East, Sheraton, 41.3%
Tucson, 3*, East, Doubletree, 27.3%
Tucson, 3*, Central, Starr Pass Golf Resort, 49.8%
Tucson, 3*, Central, Marriot, 50.2%
Tucson, 2.5*, East, Residence Inn, 100.0%
Tulsa, 3*, Southeast-Broken Arrow, Radisson, 32.7%
Tulsa, 3*, Southeast-Broken Arrow, Holiday Inn, 67.3%
Vancouver, 3*, Surrey-Pitt Meadow, Sheraton, 100.0%
Tulsa, 2*, Southeast-Broken Arrow, La Quinta, 100.0%
Vegas, 4*, Strip North, Luxor, 100.0%
Ventura, 2*, Ventura - Oxnard, La Quinta, 100.0%
Ventura, 2.5*, Ventura - Oxnard, Country Inn and Suites Ventura, 78.2%
Ventura, 2.5*, Ventura - Oxnard, Courtyard, 13.9%
Ventura, 2.5*, Ventura - Oxnard, County Inn and Suites, 7.8%
Wichita, 3*, Downtown, Holiday Inn, 61.4%
Wichita, 3*, Downtown, Broadview Hotel, 38.6%
Washington DC, 2.5*, DuPont Circle-Woodley Park, Courtyard, 100.0%
Westchester County, 2*, Elmsford-Tarrytown, La Quinta, 100.0%
Westchester County, 2.5*, Elmsford-Tarrytown, Courtyard, 15.7%
Westchester County, 2.5*, Elmsford-Tarrytown, Hampton Inn, 84.3%
Westchester County, 1*, Elmsford-Tarrytown, Extended StayAmerica, 100.0%
Vancouver, 3.5*, Airport YVZ, Delta Airport, 13.5%
Vancouver, 3.5*, Airport YVZ, Hilton, 22.0%
Vancouver, 3.5*, Airport YVZ, Marriot, 64.4%
Vancouver, 3.5*, Coquiltam-Burnaby, Hilton, 66.8%
Vancouver, 3.5*, Coquiltam-Burnaby, Delta Burnaby, 33.2%
Ventura, 3*, Camarillo, Courtyard, 100.0%
Ventura, 3.5*, Thousand Oaks, Hyatt, 33.5%
Ventura, 3.5*, Thousand Oaks, Renaissance, 66.5%
Vegas, 5*, North Strip, Trump, 100.0%
Vegas, 4*, Strip, Westin, 100.0%
Vegas, 5*, Strip, Venetian, 100.0%
Ventura, 2.5*, Camarillo, Country Inn and Suites, 39.0%
Ventura, 2.5*, Camarillo, Courtyard, 61.0%
US Virgin Island, 3.5*, St Thomas, Marriot, 100.0%
Toronto, 4*, Vaughn-North York, Westin, 100.0%
Toledo, 2*, Perrysburg - Northwood, La Quinta, 100.0%
Tinton Falls, 3*, Tinton Falls-Eatontown-Long Branch, Holiday Inn, 33.3%
Tinton Falls, 3*, Tinton Falls-Eatontown-Long Branch, Staybridge Suites, 19.5%
Tinton Falls, 3*, Tinton Falls-Eatontown-Long Branch, Sheraton, 47.2%
Trenton, 4*, Princeton-Monmouth Jctn, Westin, 100.0%
Trenton, 3.5*, Princeton-Monmouth Jctn, Marriot, 24.4%
Trenton, 3.5*, Princeton-Monmouth Jctn, Wyndham, 15.8%
Trenton, 3.5*, Princeton-Monmouth Jctn, Doubletree, 13.7%
Trenton, 3.5*, Princeton-Monmouth Jctn, Hyatt, 46.1%
Toronto, 3*, West, Four Points, 100.0%
The Berkshires, 2*, Williamstown-North Adams, Howard Johnson, 100.0%
The Black Hills, 2.5*, Spearfish, Holiday Inn, 100.0%
Tinton Falls, 3*, Red Bank-Middletown, Courtyard, 100.0%
The Black Hills, 3*, Rapid City, Grand Gateway Hotel, 15.4%
The Black Hills, 3*, Rapid City, Radisson, 29.6%
The Black Hills, 3*, Rapid City, Holiday Inn, 55.1%
Tinton Falls, 3*, Neptune-Wall, Courtyard, 36.2%
Tinton Falls, 3*, Neptune-Wall, Residence Inn, 63.8%
The Black Hills, 2*, Custer, Days Inn, 100.0%
The Black Hills, 2.5*, Mt Rushmore, Best Western, 100.0%
Toledo, 3*, Holland-Maumee, Residence Inn, 51.6%
Toledo, 3*, Holland-Maumee, Courtyard, 48.4%
Toledo, 3*, Downtown, Park Inn Toledo, 47.2%
Toledo, 3*, Downtown, Crowne Plaza, 52.8%
Toledo, 2.5*, Holland-Maumee, Country Inn and Suites, 52.2%
Toledo, 2.5*, Holland-Maumee, Staybridge Suites, 47.8%
Trumbull - Milford, 3.5*, Stratford-Milford, Marriot, 100.0%
Trumbull - Milford, 3*, Bridgeport, Holiday Inn, 100.0%
Trumbull - Milford, 3*, Stratford-Milford, Hyatt, 13.9%
Trumbull - Milford, 3*, Stratford-Milford, Residence Inn, 43.6%
Trumbull - Milford, 3*, Stratford-Milford, Hilton, 42.6%
Trumbull - Milford, 2.5*, Stratford-Milford, Residence Inn, 100.0%
Trumbull - Milford, 2*, Stratford-Milford, Hampton Inn, 50.1%
Trumbull - Milford, 2*, Stratford-Milford, Fairfield Inn, 49.9%
Trumbull - Milford, 1*, Stratford-Milford, Howard Johnson, 100.0%
Trumbull - Milford, 2.5*, Bridgeport, Holiday Inn, 100.0%
Toledo, 2*, Holland-Maumee, Fairfield Inn, 74.8%
Toledo, 2*, Holland-Maumee, Quality Inn, 25.2%
The Black Hills, 2*, Rapid City, Americas Best Value Inn, 20.2%
The Black Hills, 2*, Rapid City, Quality Inn, 36.6%
The Black Hills, 2*, Rapid City, Best Western, 31.3%
The Black Hills, 2*, Rapid City, Hotel Alex Johnson, 11.9%
The Black Hills, 2.5*, Rapid City, Country Inn and Suites, 25.8%
The Black Hills, 2.5*, Rapid City, La Quinta, 74.2%
The Black Hills, 2*, Spearfish, Super 8 Motel, 33.1%
The Black Hills, 2*, Spearfish, Howard Johnson, 66.9%
Tinton Falls, 2.5*, Red Bank-Middletown, Courtyard, 100.0%
Tinton Falls, 2*, Red Bank-Middletown, Extended StayAmerica, 100.0%
Trumbull - Milford, 3.5*, Trumbull-Shelton, Marriot, 100.0%
Trumbull - Milford, 2.5*, Trumbull-Shelton, Holiday Inn, 100.0%
Trumbull - Milford, 3*, Trumbull-Shelton, Hilton, 40.4%
Trumbull - Milford, 3*, Trumbull-Shelton, Residence Inn, 59.6%
Trumbull - Milford, 2*, Trumbull-Shelton, Homestead Suites, 100.0%
Trenton, 3*, Princeton-Monmouth Jctn, Chauncy Conf Center, 15.6%
Trenton, 3*, Princeton-Monmouth Jctn, Harrison Centr, 11.0%
Trenton, 3*, Princeton-Monmouth Jctn, Chauncey Conference Center, 20.1%
Trenton, 3*, Princeton-Monmouth Jctn, Wyndham Forrestal Vllge, 11.6%
Trenton, 3*, Princeton-Monmouth Jctn, Hyatt, 41.7%
Trenton, 2.5*, Princeton-Monmouth Jctn, Homewood Suites, 12.7%
Trenton, 2.5*, Princeton-Monmouth Jctn, Hyatt, 58.9%
Trenton, 2.5*, Princeton-Monmouth Jctn, Courtyard, 28.5%
Tinton Falls, 2.5*, Tinton Falls-Eatontown-Long Branch, Courtyard, 44.3%
Tinton Falls, 2.5*, Tinton Falls-Eatontown-Long Branch, La Quinta, 55.7%
Trenton, 2*, Princeton-Monmouth Jctn, Extended StayAmerica, 100.0%
Toledo, 3*, Perrysburg - Northwood, Holiday Inn, 30.2%
Toledo, 3*, Perrysburg - Northwood, Courtyard, 69.8%
Toledo, 2.5*, Perrysburg - Northwood, Country Inn and Suites, 47.3%
Toledo, 2.5*, Perrysburg - Northwood, Holiday Inn, 32.8%
Toledo, 2.5*, Perrysburg - Northwood, Courtyard, 19.8%
Toronto, 2.5*, Vaughn-North York, Courtyard, 100.0%
Toronto, 3*, Vaughn-North York, Holiday Inn, 16.4%
Toronto, 3*, Vaughn-North York, Courtyard, 41.5%
Toronto, 3*, Vaughn-North York, Radisson, 10.6%
Toronto, 3*, Vaughn-North York, Residence Inn, 31.5%
Toronto, 2*, Vaughn-North York, Comfort Inn, 100.0%
Ventura, 2.5*, Thousand Oaks, Best Western, 65.4%
Ventura, 2.5*, Thousand Oaks, Palm Garden Hotel, 34.6%
Ventura, 3*, Thousand Oaks, Hyatt, 44.9%
Ventura, 3*, Thousand Oaks, Renaissance, 11.6%
Ventura, 3*, Thousand Oaks, Courtyard, 43.6%
Vancouver, 3*, Airport YVZ, Delta Vancouver Airport, 2.4%
Vancouver, 3*, Airport YVZ, Hilton, 1.8%
Vancouver, 3*, Airport YVZ, Marriot, 2.9%
Vancouver, 3*, Airport YVZ, Best Western, 13.6%
Vancouver, 3*, Airport YVZ, Sheraton, 19.7%
Vancouver, 3*, Airport YVZ, Four Points, 7.2%
Vancouver, 3*, Airport YVZ, Radisson, 2.1%
Vancouver, 3*, Airport YVZ, Delta Airport, 2.2%
Vancouver, 3*, Airport YVZ, Park Plaza, 1.8%
Vancouver, 3*, Airport YVZ, Holiday Inn, 46.3%
Vancouver, 2.5*, Airport YVZ, Coast Vancouver Airport Hotel, 58.2%
Vancouver, 2.5*, Airport YVZ, Coast Hotel, 41.8%
Trenton, 3*, Langhorne-Levittown, Marriot, 32.5%
Trenton, 3*, Langhorne-Levittown, Courtyard, 67.5%
Toronto, 3.5*, Scarborough - Pickering, Delta Toronto East, 100.0%
Toronto, 4*, Mississauga, Radisson, 100.0%
Toronto, 4*, Toronto, Renaissance, 100.0%
Toronto, 4*, Markham, Hilton, 65.3%
Toronto, 4*, Markham, Sheraton, 34.7%
Toronto, 4*, Dowtown, Hyatt, 1.2%
Toronto, 4*, Dowtown, Le Meridien King Edward, 2.5%
Toronto, 4*, Dowtown, Inter-Continental Yorkville, 3.2%
Toronto, 4*, Dowtown, Westin, 34.2%
Toronto, 4*, Dowtown, Renaissance, 3.2%
Toronto, 4*, Dowtown, Le Royal Meridien King Edward Toronto, 8.1%
Toronto, 4*, Dowtown, Sutton Place Hotel, 1.1%
Toronto, 4*, Dowtown, Hilton, 7.3%
Toronto, 4*, Dowtown, Sheraton, 25.7%
Toronto, 4*, Dowtown, Marriot, 13.5%
Toronto, 4*, Downtown North, Le Meridien King Edward, 2.1%
Toronto, 4*, Downtown North, Hyatt, 6.5%
Toronto, 4*, Downtown North, Thompson, 1.0%
Toronto, 4*, Downtown North, Intercontinental Toronto Yorkville, 0.8%
Toronto, 4*, Downtown North, Marriot, 12.3%
Toronto, 4*, Downtown North, Hilton, 3.4%
Toronto, 4*, Downtown North, Westin, 29.5%
Toronto, 4*, Downtown North, InterContinental Toronto Yorkville, 0.9%
Toronto, 4*, Downtown North, Renaissance, 2.7%
Toronto, 4*, Downtown North, Sutton Place, 1.0%
Toronto, 4*, Downtown North, The Sutton Place Hotel, 0.7%
Toronto, 4*, Downtown North, Sheraton, 25.6%
Toronto, 4*, Downtown North, Le Royal Meridien King Edward Toronto, 7.0%
Toronto, 4*, Downtown North, Inter-Continental Toronto Centre on Front Street, 6.4%
Toronto, 3*, Don Valley, Crowne Plaza, 100.0%
Toronto, 4*, Airprot YYZ, Marriot, 33.9%
Toronto, 4*, Airprot YYZ, Westin, 7.0%
Toronto, 4*, Airprot YYZ, Sheraton, 59.1%
Tokyo, 5*, Minato-ku - Shinagawa-ku, Inter-Continental Bay, 100.0%
Toronto, 4*, Burlington-Oakville South, Hilton, 22.0%
Toronto, 4*, Burlington-Oakville South, Hyatt, 14.5%
Toronto, 4*, Burlington-Oakville South, Sheraton, 37.8%
Toronto, 4*, Burlington-Oakville South, Thompson, 1.1%
Toronto, 4*, Burlington-Oakville South, Renaissance, 13.8%
Toronto, 4*, Burlington-Oakville South, Inter-Continental, 5.2%
Toronto, 4*, Burlington-Oakville South, Le Royal Meridien King Edward, 2.5%
Toronto, 4*, Burlington-Oakville South, Westin, 3.1%
Toronto, 3.5*, Airport, Marriot, 100.0%
Toronto, 3*, ?, Hilton, 100.0%
Toronto, 4*, Airport, Marriot, 37.3%
Toronto, 4*, Airport, Westin, 5.4%
Toronto, 4*, Airport, Sheraton, 57.2%
Tokyo, 4*, Shinjuku, Sunroute Plaza, 24.3%
Tokyo, 4*, Shinjuku, Hilton, 43.9%
Tokyo, 4*, Shinjuku, Crowne Plaza, 31.8%
Toronto, 3*, Airport, Crowne Plaza, 2.6%
Toronto, 3*, Airport, Hilton, 8.9%
Toronto, 3*, Airport, Delta Toronto Airpot West, 3.1%
Toronto, 3*, Airport, Renaissance, 3.9%
Toronto, 3*, Airport, Residence Inn, 4.0%
Toronto, 3*, Airport, Marriot, 5.8%
Toronto, 3*, Airport, Holiay Inn Airport East, 2.2%
Toronto, 3*, Airport, Four Points, 9.6%
Toronto, 3*, Airport, Radisson, 9.2%
Toronto, 3*, Airport, Holiday Inn, 15.7%
Toronto, 3*, Airport, Doubletree, 11.8%
Toronto, 3*, Airport, Courtyard, 23.2%
Toronto, 2.5*, Airport, Fairfield Inn, 19.4%
Toronto, 2.5*, Airport, Courtyard, 39.6%
Toronto, 2.5*, Airport, Residence Inn, 13.9%
Toronto, 2.5*, Airport, Quality Inn, 27.1%
Toronto, 3.5*, Burlington-Oakville South, Hyatt, 100.0%
Toronto, 2*, Burlington-Oakville South, Comfort Inn, 100.0%
Toronto, 2*, Airport, Comfort Inn, 48.1%
Toronto, 2*, Airport, Fairfield Inn, 51.9%
Toronto, 3*, Airprot YYZ, Hilton, 9.0%
Toronto, 3*, Airprot YYZ, Residence Inn, 4.1%
Toronto, 3*, Airprot YYZ, Holiay Inn Airport East, 2.2%
Toronto, 3*, Airprot YYZ, Doubletree, 11.9%
Toronto, 3*, Airprot YYZ, Renaissance, 3.8%
Toronto, 3*, Airprot YYZ, Crowne Plaza, 2.6%
Toronto, 3*, Airprot YYZ, Holiday Inn, 16.7%
Toronto, 3*, Airprot YYZ, Courtyard, 20.0%
Toronto, 3*, Airprot YYZ, Marriot, 5.9%
Toronto, 3*, Airprot YYZ, Radisson, 11.0%
Toronto, 3*, Airprot YYZ, Delta Toronto Airpot West, 3.1%
Toronto, 3*, Airprot YYZ, Four Points, 9.7%
Toronto, 3.5*, Airprot YYZ, Marriot, 100.0%
Toronto, 3*, Burlington-Oakville South, Hilton, 15.3%
Toronto, 3*, Burlington-Oakville South, Radisson, 27.3%
Toronto, 3*, Burlington-Oakville South, Holiday Inn, 29.1%
Toronto, 3*, Burlington-Oakville South, Residence Inn, 28.2%
Toronto, 3.5*, Downtown North, Hyatt, 26.6%
Toronto, 3.5*, Downtown North, Delta Chelsea, 73.4%
Toronto, 2*, Airprot YYZ, Comfort Inn, 39.5%
Toronto, 2*, Airprot YYZ, Fairfield Inn, 60.5%
Toronto, 2.5*, Dowtown, Best Western, 48.6%
Toronto, 2.5*, Dowtown, Bond Place Hotel, 32.1%
Toronto, 2.5*, Dowtown, Residence Inn, 19.3%
Toronto, 3*, Dowtown, Renaissance, 21.8%
Toronto, 3*, Dowtown, Delta Chelsea, 15.3%
Toronto, 3*, Dowtown, Residence Inn, 8.3%
Toronto, 3*, Dowtown, Courtyard, 16.0%
Toronto, 3*, Dowtown, Novotel Toronto Centre, 5.3%
Toronto, 3*, Dowtown, Marriot, 27.8%
Toronto, 3*, Dowtown, Radisson, 5.5%
Toronto, 2.5*, Downtown North, Residence Inn, 19.3%
Toronto, 2.5*, Downtown North, Bond Place Hotel, 32.1%
Toronto, 2.5*, Downtown North, Best Western, 48.6%
Toronto, 2.5*, Airprot YYZ, Courtyard, 40.1%
Toronto, 2.5*, Airprot YYZ, Fairfield Inn, 22.0%
Toronto, 2.5*, Airprot YYZ, Quality Suites, 22.1%
Toronto, 2.5*, Airprot YYZ, Residence Inn, 15.8%
Toronto, 3*, Downtown North, Delta Chelsea, 12.5%
Toronto, 3*, Downtown North, Novotel, 4.3%
Toronto, 3*, Downtown North, Radisson, 4.4%
Toronto, 3*, Downtown North, Hilton, 4.1%
Toronto, 3*, Downtown North, Holiday Inn, 10.2%
Toronto, 3*, Downtown North, Courtyard, 22.9%
Toronto, 3*, Downtown North, Renaissance, 10.0%
Toronto, 3*, Downtown North, Residence Inn, 9.1%
Toronto, 3*, Downtown North, Marriot, 22.5%
